questions,answers
what did nintendo announce at e3 2012?,NINTENDO CO LTD Common Stock
what can you do in palm springs ca?,"The Fabulous Palm Springs Follies, Palm Springs Air Museum, Living Desert Zoo and Gardens, Palm Springs Walk of Stars, The Palm Springs Art Museum, Knott's Soak City, Tahquitz Canyon, Palm Springs Aerial Tramway, Moorten Botanical Garden and Cactarium, San Jacinto Mountains"
where is red lake ontario?,Canada
when was the last time the ny giants played in the superbowl?,Super Bowl XXV
who was the president of pakistan in 1980?,Muhammad Zia-ul-Haq
which college did barack obama attend?,Columbia University
where was st elizabeth ann seton born?,New York City
what does the adriatic sea border?,"Kvarner Gulf, Pag"
what teams played in the 2010 stanley cup?,Chicago Blackhawks
what colony is john adams from?,Massachusetts
what countries do germany border?,"Netherlands, Czech Republic, Salzburg, Denmark, Poland, Luxembourg, France, Belgium, Austria, Switzerland"
who does russia trade with the most?,Uzbekistan
where was abraham lincoln buried?,Oak Ridge Cemetery
who was the grandson of king david's father?,Solomon
when president lincoln was elected?,Abraham Lincoln 1861 presidential inauguration
what did theodore roosevelt do that brought him to national prominence?,President of the United States
where is devon sawa now?,Vancouver
who did the cleveland browns draft?,"Jeff Faine, Kellen Winslow II, Braylon Edwards, Kamerion Wimbley, Brady Quinn, Joe Thomas"
who was marilyn monroe's parents?,"Charles Stanley Gifford, Martin Edward Mortensen, Gladys Pearl Baker"
where is shoreditch?,London
what should i do today in houston?,"George R. Brown Convention Center, Sam Houston Race Park, Rothko Chapel, Kemah Boardwalk, Space Center Houston, Downtown Aquarium, Houston, Hanna–Barbera Land, Bayou Bend, SplashTown Houston, Houston Zoo"
where does the spanish language come from?,Spain
when do they change the time in london?,Greenwich Mean Time
what timezone is tennessee nashville?,Central Time Zone
what political party was henry clay?,Whig Party
what is capital city of ontario?,Ottawa
what money is used in england?,UK £
what was walt disney's first cartoon called?,Steamboat Willie
what did mary harris jones accomplish?,"Children's rights, Labor rights"
what currency do i need in egypt?,Egyptian pound
where is ellis park rugby stadium?,New York City
what does the letters eu stand for?,European Union
what are the 5 countries in the united kingdom?,"Wales, England, Scotland, Northern Ireland"
what label is jojo signed to?,"Mercury, Edel AG, Interscope Records, Blackground Records, Universal Motown Republic Group, Universal Records"
where did douglas macarthur die?,"Washington, D.C."
what does russian people speak?,"Yiddish Language, Chuvash Language, Russian Language, Tatar Language, Ukrainian Language"
who is playing jason morgan on general hospital?,Steve Burton
where is hong kong china?,Asia
who does david beckham play for in 2013?,Paris Saint-Germain F.C.
who nikki reed play in twilight?,Rosalie Hale
who does blake griffin play for in the nba?,Los Angeles Clippers
who played mulder in the x files?,David Duchovny
who are the current maryland senators?,Ben Cardin
where is the capital of canada on the map?,Ottawa
what time does barnes and noble close on saturday?,"Central High School, University of Pennsylvania"
what was francisco vasquez de coronado known for?,Mexico City
what form of government does greece use?,Hellenic Parliament
where did the columbia river begin?,British Columbia
who was the original voice of meg on family guy?,Lacey Chabert
who did matt barnes married?,Gloria Govan
who won the nobel peace prize in 2011 for physics?,"Ellen Johnson Sirleaf, Tawakkol Karman, Leymah Gbowee"
what is jessica ennis sport?,Track and field athletics
where is tahiti bora bora?,French Polynesia
where did joe namath live?,"Fire Island, Beaver Falls"
who is my state senator and representative minnesota?,Al Franken
what films has kristen stewart starred in?,"Panic Room, Catch That Kid, In the Land of Women, Fierce People, Into the Wild, The Messengers, Cold Creek Manor, Zathura, The Safety of Objects, Speak"
where do samsung lions play?,Daegu Baseball Stadium
what teams did derek fisher play for in the nba?,"Oklahoma City Thunder, Dallas Mavericks, Los Angeles Lakers"
who did mike tomlin play for?,Pittsburgh Steelers
what kind of currency does cuba use?,Cuban peso
what movies have robert pattinson starred in?,"Eclipse, Twilight, New Moon, The Twilight Saga: Breaking Dawn - Part 1"
what are the zoroastrian scriptures called?,"The Zend-Avesta, The Gathas, and the Doctrine of Zarathustra"
what political party is barack obama from?,Democratic Party
what organization did martin luther king lead?,"Civil rights movement, Civil disobedience, Nonviolence"
what was arthur conan doyle famous for?,Sherlock Holmes
what year did michael jordan started his career?,1984 NBA Draft
what currency should you take to thailand?,Thai baht
what kind of guitar does jemaine clement play?,Bass guitar
where was lance armstrong born and in what year?,9/18/1971
what kind of money is used in israel?,Israeli new shekel
where is george bush from?,New Haven
what did william howe do in the revolutionary war?,Battle of Bunker Hill
what is north dakota state's mascot?,Western Meadowlark
what is the work of charles darwin?,"The Structure and Distribution of Coral Reefs, On evolution, A student's introduction to Charles Darwin, Climbing Plants, The Expression of the Emotions in Man and Animals, The origin of species : complete and fully illustrated, The Origin of Species, The Life of Erasmus Darwin, The Autobiography of Charles Darwin, The Descent of Man, and Selection in Relation to Sex"
what movies have adam sandler been in?,"Big Daddy, Dickie Roberts: Former Child Star, Joe Dirt 2, Bedtime Stories, Click, The Benchwarmers, Eight Crazy Nights, The House Bunny, You Don't Mess with the Zohan, I Now Pronounce You Chuck and Larry"
where did phil mickelson go to college?,Arizona State University
what is the most practiced religion in the us?,Christianity
what does duffy sing?,"Mercy, Rockferry, /m/0dm9yv1, Smoke Without Fire, Big Flame, Warwick Avenue, Mercy (Gareth Wyn remix), I'm Scared, Tomorrow"
what school did tupac go to?,"Paul Laurence Dunbar High School, Baltimore School for the Arts, Tamalpais High School"
where did the flemish live?,Belgium
what year did the houston rockets win their first championship?,1994 NBA Finals
what college did harry s. truman attend?,University of Missouri–Kansas City
what is the official language spoken in mexico?,Spanish Language
what religion in thailand?,"Buddhism, Christian, Islam"
who is queen elizabeth 1 father?,Henry VIII of England
what other languages does switzerland speak?,"Romansh language, French Language, German Language, Italian Language"
what team is ronaldinho on?,Clube Atlético Mineiro
what kind of government system does canada have?,"Parliamentary system, Federation, Constitutional monarchy, Multi-party system"
what type of government did sparta greece have?,"Monarchy, Diarchy"
where to vacation in italy in august?,"Corriere della Sera, l'Unità, Il Foglio, la Repubblica, Il Messaggero, La Domenica del Corriere, La Stampa, Avanti!, La Gazzetta dello Sport, Liberazione"
what kind of voting system does japan have?,"Parliamentary system, Unitary state, Constitutional monarchy"
what are the names of all the countries in africa?,"Angola, Côte d’Ivoire, Central African Republic, Burkina Faso, Djibouti, Congo, Burundi, Botswana, Cape Verde, Benin"
who started the first persian gulf war?,Kuwait
what is the name of the pittsburgh steelers stadium?,"Pitt Stadium, Forbes Field, Heinz Field, Three Rivers Stadium"
where was nicki minaj born?,"Saint James, Trinidad and Tobago"
what was jesse james wife name?,Zerelda Mimms
who plays spike in buffy the vampire slayer?,James Marsters
where was emperor hadrian born?,Rome
who became president when roosevelt died in office?,Harry S. Truman
where did martin luther king went to school?,Morehouse College
where did charles drew go to college?,Amherst College
what was the colosseum in rome used for?,Gladiator
who plays lynette on desperate housewives?,Felicity Huffman
what year was michael jordan rookie year?,1984-85 NBA season
what timezone is the state of texas?,Central Time Zone
what airport is closest to ithaca ny?,Ithaca Tompkins Regional Airport
where did kurt cobain die?,Seattle
what county is jackson michigan in?,Jackson County
where was the battle of verdun held?,Verdun
who played boss hogg dukes of hazzard?,Sorell Booke
who played kitt in knight rider?,William Daniels
what religion did the ottoman turks follow?,"Islam, Judaism, Christianity"
what is vanderbilt university known for?,Vanderbilt University School of Medicine
what religion is king henry viii?,"Church of England, Anglo-Catholicism"
what countries did germany take over during world war 2?,France
where did james baldwin go to school?,DeWitt Clinton High School
who was joseph pulitzer and what did he do?,"Publisher, Politician, Journalist, Lawyer"
what was basketball player michael jordan's major in college?,Cultural geography
who made the american red cross?,Clara Barton
what kind government does canada have?,"Parliamentary system, Federation, Constitutional monarchy, Multi-party system"
what did newton discover or invent?,Newton's law of universal gravitation
who played daniel larusso?,"Ralph Macchio, Sr."
what happened to umaga wwe?,Myocardial infarction
when is the next geneva motor show?,March
when and where did the battle of antietam take place?,Sharpsburg
what movies did jj abrams direct?,"Star Wars Episode VII, Anatomy of Hope, Star Trek, Star Trek into Darkness, Mission: Impossible III, Super 8"
what countries does armenia border?,"Turkey, Georgia, Azerbaijan"
what season does haley have her second baby?,United States of America
when richard nixon was president?,1960
what job did martin luther king jr have?,"Preacher, Writer, Pastor, Peace activist"
what characters does seth macfarlane voice?,"Peter Griffin, Mickey McFinnegan, Stewie Griffin, Jake Tucker, Glenn Quagmire, Carter Pewterschmidt, Stan Smith, Tom Tucker, Kevin Swanson, Brian Griffin"
where did macho camacho got shot at?,San Juan
who is andrew carnegie and what did he do?,"Entrepreneur, Businessperson, Business magnate"
who plays lorne on angel?,Andy Hallett
what form of government exists in china?,"Single-party state, Communist state, Socialist state"
who is jeremy sumpter?,Actor
when last did real madrid win the champions league?,2002 UEFA Champions League Final
who was the winner of the 2009 nobel peace prize?,Barack Obama
